trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-200.9718592624257,"{0: 6, 1: 6, 2: 4, 3: 1, 4: 3}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-62.188883145218355,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,2,-92.70073134626122,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 1}",1
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-89.96723581504972,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-123.49439212780676,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",35,21,-1.17100071549641,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-117.55699421484287,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,11,-84.98779072840074,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-97.64823787664047,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,0,-120.4917951853864,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-85.85855297013069,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-26.39690786708253,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-74.18629796210435,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,13,-8.494514077939169,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-71.55177057607665,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",30,19,-56.6472112131042,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,7,19.091690096684758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,26.954426192970615,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,0,-62.07775293477343,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,0,30.651223909943962,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,4,-1.3280496139091573,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",25,0,-7.116047860345656,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'e': 0, 'a': 0}",20,9,18.47002542670567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,0,20.29162218897941,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'e': 0, 'a': 0}",20,10,17.249896785516295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,10,19.72066825774789,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,19,10.895826996906184,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,6,10.375167134061957,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,5,25.28846989510939,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",25,6,29.600957949393976,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
