trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99, 'a': 0.5}",20,0,-76.14093694858376,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
2,False,"{'e': 0.98, 'a': 0.5}",20,0,-128.64255086506137,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'e': 0.97, 'a': 0.5}",20,0,-82.06479277671333,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
4,False,"{'e': 0.96, 'a': 0.5}",25,0,-162.80022436422774,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
5,False,"{'e': 0.95, 'a': 0.5}",20,0,-108.17165674044118,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'e': 0.94, 'a': 0.5}",25,3,-175.34920001557626,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 3}",1
7,False,"{'e': 0.9299999999999999, 'a': 0.5}",20,0,-86.53867092397732,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
8,False,"{'e': 0.9199999999999999, 'a': 0.5}",20,0,-109.23756906706957,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,False,"{'e': 0.9099999999999999, 'a': 0.5}",30,0,-200.4841564016066,"{0: 14, 1: 7, 2: 6, 3: 0, 4: 3}",0
10,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-205.1003056938665,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
11,False,"{'e': 0.8899999999999999, 'a': 0.5}",20,0,-78.96564980232492,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
12,False,"{'e': 0.8799999999999999, 'a': 0.5}",25,0,-124.67023805944419,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'e': 0.8699999999999999, 'a': 0.5}",25,0,-174.7494350639457,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
14,False,"{'e': 0.8599999999999999, 'a': 0.5}",25,0,-125.74791949478991,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
15,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-109.26400355051236,"{0: 13, 1: 5, 2: 4, 3: 3, 4: 0}",0
16,False,"{'e': 0.8399999999999999, 'a': 0.5}",30,0,-118.56933333008033,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'e': 0.8299999999999998, 'a': 0.5}",20,3,-34.22061404205077,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
18,False,"{'e': 0.8199999999999998, 'a': 0.5}",25,0,-69.10831557302004,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'e': 0.8099999999999998, 'a': 0.5}",20,8,-125.7024715477971,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 3}",1
20,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-58.70765641514571,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'e': 0.7899999999999998, 'a': 0.5}",30,0,-209.9178080833053,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
22,False,"{'e': 0.7799999999999998, 'a': 0.5}",30,2,-18.546836447663384,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 0}",1
23,False,"{'e': 0.7699999999999998, 'a': 0.5}",25,0,-104.53145176435167,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
24,False,"{'e': 0.7599999999999998, 'a': 0.5}",25,1,-114.6519538968515,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 2}",1
25,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,0,-136.64339006958636,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
26,False,"{'e': 0.7399999999999998, 'a': 0.5}",20,0,-221.00983520120448,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
27,False,"{'e': 0.7299999999999998, 'a': 0.5}",20,12,-34.34241916476151,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
28,False,"{'e': 0.7199999999999998, 'a': 0.5}",20,0,-66.82305175360736,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
29,False,"{'e': 0.7099999999999997, 'a': 0.5}",25,0,-60.62469670142424,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-242.68806999816871,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
